"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"-OUTL,-OUTR,+OUTR,+OUTL,OUTL1,GND1,5V1,LRCK1,DRAIN1,+5V1,VBUS1,OUTR1,HIV-1,DOUT1,BCK1,STG1,+3.3V1,LAMP1,PWM1,GND2,HIV+1,DAC_MONO1";"Pin_D1.0mm_L10.0mm";22;"TestPoint";;;
2;"R44,R43,R3,R12,R31,R13,R29,R25,R28,R34,R5,R10,R33";"R_0805_2012Metric";13;"10k";;;
3;"C33,C17,C31,C24,C18,C32";"C_0805_2012Metric";6;"1uF";;;
4;"R30,R32";"R_0805_2012Metric";2;"470R";;;
5;"T1";"Transformer_Coilcraft_FL2810-1L";1;"FL2810-1L";;;
6;"R21,R23,R24";"R_0805_2012Metric";3;"33R";;;
7;"D10,D12,D11";"D_SOD-323";3;"PESD5V0S1BA";;;
8;"R39,R37,R41,R38,R42,R40";"R_0805_2012Metric";6;"4.7k";;;
9;"Q1";"SOT-23";1;"AO3400A";;;
10;"R26,R22";"R_0805_2012Metric";2;"5.1k";;;
11;"C3,C5";"C_0805_2012Metric";2;"1000pF";;;
12;"U2";"TO252-3L_DIO";1;"AP7363-33D-13";;;
13;"D2,D1";"DIOM4226X244N";2;"ES1H";;;
14;"C8,C12,C16,C26,C22,C13,C9";"C_0805_2012Metric";7;"10uF";;;
15;"D5,D6,D8,D9,D4";"LED_0805_2012Metric";5;"YELLOW";;;
16;"F1";"Fuseholder_Clip-7.62mm_Littelfuse";1;"Clip";;;
17;"C27,C11,C23,C1,C30,C14,C10";"C_0805_2012Metric";7;"0.1uF";;;
18;"C19,C25";"C_0805_2012Metric";2;"2.2uF";;;
19;"R9";"R_0805_2012Metric";1;"100R";;;
20;"FB2,FB1";"L_0603_1608Metric";2;"FerriteBead_Small";;;
21;"C2,C4";"C_2220_5750Metric";2;"1uF/ 500V";;;
22;"RV1";"Potentiometer_Vishay_T93YA_Vertical";1;"R_Potentiometer";;;
23;"R16,R14,R17,R15,R18,R19,R1";"R_0805_2012Metric";7;"220R";;;
24;"JP8,JP2,JP7,JP3,JP4,JP1,JP6";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";7;"SolderJumper_2_Open";;;
25;"R6";"R_2512_6332Metric";1;"10R";;;
26;"U1";"PW0008A-MFG";1;"LM393BIPWR";;;
27;"R27";"R_0805_2012Metric";1;"1M";;;
28;"L1";"L_1008_2520Metric";1;"2.2uH";;;
29;"C28";"CAPC1810X80N";1;"20uF";;;
30;"J2";"STX-3000_KYC";1;"AUDIO JACK";;;
31;"R11";"R_0805_2012Metric";1;"10R";;;
32;"C29";"C_1206_3216Metric";1;"220uF";;;
33;"U5";"SOP-16_3.9x9.9mm_P1.27mm";1;"PAM8406DR";;;
34;"R8";"R_0805_2012Metric";1;"1K";;;
35;"R4";"R_2512_6332Metric";1;"560k, 1M";;;
36;"S1,S2";"SW_SKRPABE010";2;"SKRPABE010";;;
37;"C20,C21";"C_0805_2012Metric";2;"2.2nF";;;
38;"R7";"R_1210_3225Metric";1;"1M";;;
39;"U3";"SOT-23-5";1;"TPS613222ADBV";;;
40;"C6";"C_0805_2012Metric";1;"100pF";;;
41;"J1";"GCT_USB4105-GF-A";1;"USB4105-GF-A";;;
42;"R2";"R_0805_2012Metric";1;"22k";;;
43;"R20";"R_0805_2012Metric";1;"2.7k";;;
44;"D7";"LED_0805_2012Metric";1;"BLUE";;;
45;"U6";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5102";;;
46;"U4";"ESP32S3WROOM1N8R2";1;"ESP32-S3-WROOM-1-N8";;;
47;"C7";"C_0805_2012Metric";1;"120pF";;;
48;"C15";"C_0805_2012Metric";1;"0.01uF";;;
49;"D3";"D_SOD-323";1;"D_Schottky";;;
50;"J3";"MEM2061-01-188-00-A_GCT";1;"MEM2061-01-188-00-A";;;
