Ref,Val,Package,PosX,PosY,Rot,Side
"J3","MEM2061-01-188-00-A","MEM2061-01-188-00-A_GCT",102.800000,-101.300000,-90.000000,bottom
"+3.3V1","TestPoint","Pin_D1.0mm_L10.0mm",63.900000,-134.625000,0.000000,top
"+5V1","TestPoint","Pin_D1.0mm_L10.0mm",78.400000,-182.500000,90.000000,top
"+OUTL","TestPoint","Pin_D1.0mm_L10.0mm",86.750000,-184.500000,-90.000000,top
"+OUTR","TestPoint","Pin_D1.0mm_L10.0mm",99.125000,-184.500000,-90.000000,top
"-OUTL","TestPoint","Pin_D1.0mm_L10.0mm",91.175000,-184.500000,-90.000000,top
"-OUTR","TestPoint","Pin_D1.0mm_L10.0mm",95.025000,-184.500000,-90.000000,top
"5V1","TestPoint","Pin_D1.0mm_L10.0mm",63.550000,-153.175000,0.000000,top
"BCK1","TestPoint","Pin_D1.0mm_L10.0mm",105.800000,-149.675000,0.000000,top
"C1","0.1uF","C_0805_2012Metric",67.950008,-105.440000,0.000000,top
"C2","1uF/ 500V","C_2220_5750Metric",50.450000,-90.400000,0.000000,top
"C3","1000pF","C_0805_2012Metric",48.950000,-107.000000,0.000000,top
"C4","1uF/ 500V","C_2220_5750Metric",50.300000,-76.300000,0.000000,top
"C5","1000pF","C_0805_2012Metric",61.300000,-87.150000,-90.000000,top
"C6","100pF","C_0805_2012Metric",48.300000,-83.800000,-90.000000,top
"C7","120pF","C_0805_2012Metric",71.400000,-150.950000,180.000000,top
"C8","10uF","C_0805_2012Metric",71.523100,-124.125000,0.000000,top
"C9","10uF","C_0805_2012Metric",71.823100,-133.525000,0.000000,top
"C10","0.1uF","C_0805_2012Metric",104.800000,-79.900000,0.000000,top
"C11","0.1uF","C_0805_2012Metric",98.000000,-79.900000,0.000000,top
"C12","10uF","C_0805_2012Metric",66.900000,-146.240000,0.000000,top
"C13","10uF","C_0805_2012Metric",66.900000,-148.750000,0.000000,top
"C14","0.1uF","C_0805_2012Metric",60.900000,-71.000000,90.000000,top
"C15","0.01uF","C_0805_2012Metric",52.812500,-185.400000,0.000000,top
"C16","10uF","C_0805_2012Metric",79.700000,-89.740000,0.000000,top
"C17","1uF","C_0805_2012Metric",79.700000,-92.200000,0.000000,top
"C18","1uF","C_0805_2012Metric",87.925000,-172.600000,180.000000,top
"C19","2.2uF","C_0805_2012Metric",95.850000,-146.625000,0.000000,top
"C20","2.2nF","C_0805_2012Metric",95.800000,-148.825000,0.000000,top
"C21","2.2nF","C_0805_2012Metric",100.087500,-148.900000,0.000000,top
"C22","10uF","C_0805_2012Metric",100.087500,-151.300000,0.000000,top
"C23","0.1uF","C_0805_2012Metric",88.437500,-158.900000,180.000000,top
"C24","1uF","C_0805_2012Metric",92.075000,-175.900000,0.000000,top
"C25","2.2uF","C_0805_2012Metric",95.450000,-158.550000,0.000000,top
"C26","10uF","C_0805_2012Metric",85.975000,-156.025000,-90.000000,top
"C27","0.1uF","C_0805_2012Metric",95.475000,-160.850000,0.000000,top
"C28","20uF","CAPC1810X80N",96.225000,-175.925000,0.000000,top
"C29","220uF","C_1206_3216Metric",100.600000,-168.750000,0.000000,top
"C30","0.1uF","C_0805_2012Metric",100.100000,-176.250000,0.000000,top
"C31","1uF","C_0805_2012Metric",100.100000,-173.950000,0.000000,top
"C32","1uF","C_0805_2012Metric",97.700000,-106.525000,0.000000,top
"C33","1uF","C_0805_2012Metric",88.275000,-175.975000,180.000000,top
"D1","ES1H","DIOM4226X244N",50.825000,-98.300000,180.000000,top
"D2","ES1H","DIOM4226X244N",41.700000,-70.300000,0.000000,top
"D3","D_Schottky","D_SOD-323",74.900000,-147.850000,90.000000,top
"D4","YELLOW","LED_0805_2012Metric",100.512500,-113.900000,180.000000,top
"D5","YELLOW","LED_0805_2012Metric",100.500000,-116.200000,180.000000,top
"D6","YELLOW","LED_0805_2012Metric",100.487500,-118.500000,180.000000,top
"D7","BLUE","LED_0805_2012Metric",100.537500,-120.800000,180.000000,top
"D8","YELLOW","LED_0805_2012Metric",100.537500,-123.100000,180.000000,top
"D9","YELLOW","LED_0805_2012Metric",100.537500,-125.300000,180.000000,top
"D10","PESD5V0S1BA","D_SOD-323",63.000000,-174.350000,180.000000,top
"D11","PESD5V0S1BA","D_SOD-323",63.000000,-172.050000,180.000000,top
"D12","PESD5V0S1BA","D_SOD-323",63.000000,-176.650000,180.000000,top
"DAC_MONO1","TestPoint","Pin_D1.0mm_L10.0mm",101.925000,-136.400000,0.000000,top
"DOUT1","TestPoint","Pin_D1.0mm_L10.0mm",105.650000,-142.500000,0.000000,top
"DRAIN1","TestPoint","Pin_D1.0mm_L10.0mm",65.150000,-94.500000,0.000000,top
"F1","Clip","Fuseholder_Clip-7.62mm_Littelfuse",44.765000,-184.922500,90.000000,top
"FB1","FerriteBead_Small","L_0603_1608Metric",86.925000,-181.325000,90.000000,top
"FB2","FerriteBead_Small","L_0603_1608Metric",90.925000,-181.200000,90.000000,top
"GND1","TestPoint","Pin_D1.0mm_L10.0mm",50.400000,-162.675000,0.000000,top
"GND2","TestPoint","Pin_D1.0mm_L10.0mm",71.050000,-182.525000,0.000000,top
"HIV+1","TestPoint","Pin_D1.0mm_L10.0mm",56.900000,-94.500000,0.000000,top
"HIV-1","TestPoint","Pin_D1.0mm_L10.0mm",47.425000,-69.250000,0.000000,top
"J1","USB4105-GF-A","GCT_USB4105-GF-A",60.100000,-184.250000,0.000000,top
"J2","AUDIO JACK","STX-3000_KYC",107.950124,-178.490435,180.000000,top
"L1","2.2uH","L_1008_2520Metric",71.625000,-144.350000,180.000000,top
"LAMP1","TestPoint","Pin_D1.0mm_L10.0mm",74.675000,-182.525000,90.000000,top
"LRCK1","TestPoint","Pin_D1.0mm_L10.0mm",105.700000,-146.075000,0.000000,top
"OUTL1","TestPoint","Pin_D1.0mm_L10.0mm",105.925000,-159.450000,0.000000,top
"OUTR1","TestPoint","Pin_D1.0mm_L10.0mm",105.825000,-154.350000,0.000000,top
"PWM1","TestPoint","Pin_D1.0mm_L10.0mm",53.175000,-69.150000,0.000000,top
"Q1","AO3400A","SOT-23",52.137500,-83.750000,0.000000,top
"R1","220R","R_0805_2012Metric",56.850000,-146.725000,-90.000000,top
"R2","22k","R_0805_2012Metric",64.125000,-111.300000,180.000000,top
"R3","10k","R_0805_2012Metric",64.000008,-105.450000,0.000000,top
"R4","560k, 1M","R_2512_6332Metric",50.662500,-102.900000,0.000000,top
"R5","10k","R_0805_2012Metric",67.900000,-111.300000,180.000000,top
"R6","10R","R_2512_6332Metric",50.500000,-150.200000,-90.000000,top
"R7","1M","R_1210_3225Metric",63.350000,-102.550000,180.000000,top
"R8","1K","R_0805_2012Metric",86.387500,-76.330000,180.000000,top
"R9","100R","R_0805_2012Metric",58.900000,-87.200000,90.000000,top
"R10","10k","R_0805_2012Metric",67.875000,-103.100000,180.000000,top
"R11","10R","R_0805_2012Metric",71.400000,-153.250000,0.000000,top
"R12","10k","R_0805_2012Metric",104.800000,-77.500000,180.000000,top
"R13","10k","R_0805_2012Metric",98.000000,-77.600000,180.000000,top
"R14","220R","R_0805_2012Metric",96.537500,-113.900000,180.000000,top
"R15","220R","R_0805_2012Metric",96.512500,-116.300000,180.000000,top
"R16","220R","R_0805_2012Metric",96.487500,-118.500000,180.000000,top
"R17","220R","R_0805_2012Metric",96.537500,-120.800000,180.000000,top
"R18","220R","R_0805_2012Metric",96.537500,-123.100000,180.000000,top
"R19","220R","R_0805_2012Metric",96.337500,-125.300000,180.000000,top
"R20","2.7k","R_0805_2012Metric",58.000000,-74.900000,-90.000000,top
"R21","33R","R_0805_2012Metric",86.200000,-85.475000,180.000000,top
"R22","5.1k","R_0805_2012Metric",57.700000,-176.450000,180.000000,top
"R23","33R","R_0805_2012Metric",86.225000,-83.230000,180.000000,top
"R24","33R","R_0805_2012Metric",86.125000,-80.950000,180.000000,top
"R25","10k","R_0805_2012Metric",58.000000,-71.000000,-90.000000,top
"R26","5.1k","R_0805_2012Metric",52.800000,-183.250000,180.000000,top
"R27","1M","R_0805_2012Metric",57.700000,-174.050000,180.000000,top
"R28","10k","R_0805_2012Metric",61.400000,-82.300000,-90.000000,top
"R29","10k","R_0805_2012Metric",58.900000,-82.287500,-90.000000,top
"R30","470R","R_0805_2012Metric",90.987500,-148.825000,180.000000,top
"R31","10k","R_0805_2012Metric",90.987500,-146.625000,180.000000,top
"R32","470R","R_0805_2012Metric",57.675000,-171.200000,180.000000,top
"R33","10k","R_0805_2012Metric",97.975000,-133.300000,180.000000,top
"R34","10k","R_0805_2012Metric",101.837500,-133.300000,0.000000,top
"R37","4.7k","R_0805_2012Metric",91.900000,-98.575000,180.000000,top
"R38","4.7k","R_0805_2012Metric",91.925000,-100.700000,180.000000,top
"R39","4.7k","R_0805_2012Metric",91.925000,-102.750000,180.000000,top
"R40","4.7k","R_0805_2012Metric",91.925000,-104.925000,180.000000,top
"R41","4.7k","R_0805_2012Metric",105.100000,-92.100000,180.000000,top
"R42","4.7k","R_0805_2012Metric",105.125000,-89.750000,180.000000,top
"R43","10k","R_0805_2012Metric",87.275000,-169.675000,180.000000,top
"R44","10k","R_0805_2012Metric",95.175000,-178.575000,180.000000,top
"RV1","R_Potentiometer","Potentiometer_Vishay_T93YA_Vertical",108.137500,-136.440000,90.000000,top
"S1","SKRPABE010","SW_SKRPABE010",104.800000,-73.200000,-90.000000,top
"S2","SKRPABE010","SW_SKRPABE010",98.000000,-73.300000,-90.000000,top
"STG1","TestPoint","Pin_D1.0mm_L10.0mm",60.900000,-94.500000,0.000000,top
"T1","FL2810-1L","Transformer_Coilcraft_FL2810-1L",48.512500,-110.505000,-90.000000,top
"U1","LM393BIPWR","PW0008A-MFG",65.900008,-108.250000,0.000000,top
"U2","AP7363-33D-13","TO252-3L_DIO",71.925000,-128.925000,-90.000000,top
"U3","TPS613222ADBV","SOT-23-5",71.262500,-147.900000,0.000000,top
"U4","ESP32-S3-WROOM-1-N8","ESP32S3WROOM1N8R2",73.800000,-73.940000,0.000000,top
"U5","PAM8406DR","SOP-16_3.9x9.9mm_P1.27mm",94.075000,-169.425000,0.000000,top
"U6","PCM5102","TSSOP-20_4.4x6.5mm_P0.65mm",92.925000,-153.575000,0.000000,top
"VBUS1","TestPoint","Pin_D1.0mm_L10.0mm",50.400000,-157.850000,0.000000,top
