DESIGNATOR,MIDX,MIDY,LAYER,ROTATION,VALUE,Package
J3,102.8,-101.3,bottom,-90,MEM2061-01-188-00-A,MEM2061-01-188-00-A_GCT
C1,67.950008,-105.44,top,0,0.1uF,C_0805_2012Metric
C2,50.45,-90.4,top,0,1uF/ 500V,C_2220_5750Metric
C3,48.95,-107,top,0,1000pF,C_0805_2012Metric
C4,50.3,-76.3,top,0,1uF/ 500V,C_2220_5750Metric
C5,61.3,-87.15,top,-90,1000pF,C_0805_2012Metric
C6,48.3,-83.8,top,-90,100pF,C_0805_2012Metric
C7,71.4,-150.95,top,180,120pF,C_0805_2012Metric
C8,71.5231,-124.125,top,0,10uF,C_0805_2012Metric
C9,71.8231,-133.525,top,0,10uF,C_0805_2012Metric
C12,66.9,-146.24,top,0,10uF,C_0805_2012Metric
C13,66.9,-148.75,top,0,10uF,C_0805_2012Metric
C14,60.9,-71,top,90,0.1uF,C_0805_2012Metric
C15,52.8125,-185.4,top,0,0.01uF,C_0805_2012Metric
C16,79.7,-89.74,top,0,10uF,C_0805_2012Metric
C17,79.7,-92.2,top,0,1uF,C_0805_2012Metric
C18,87.925,-172.6,top,180,1uF,C_0805_2012Metric
C19,95.85,-146.625,top,0,2.2uF,C_0805_2012Metric
C20,95.8,-148.825,top,0,2.2nF,C_0805_2012Metric
C21,100.0875,-148.9,top,0,2.2nF,C_0805_2012Metric
C22,100.0875,-151.3,top,0,10uF,C_0805_2012Metric
C23,88.4375,-158.9,top,180,0.1uF,C_0805_2012Metric
C24,92.075,-175.9,top,0,1uF,C_0805_2012Metric
C25,95.45,-158.55,top,0,2.2uF,C_0805_2012Metric
C26,85.975,-156.025,top,-90,10uF,C_0805_2012Metric
C27,95.475,-160.85,top,0,0.1uF,C_0805_2012Metric
C28,96.225,-175.925,top,0,20uF,CAPC1810X80N
C29,100.6,-168.75,top,0,220uF,C_1206_3216Metric
C30,100.1,-176.25,top,0,0.1uF,C_0805_2012Metric
C31,100.1,-173.95,top,0,1uF,C_0805_2012Metric
C32,97.7,-106.525,top,0,1uF,C_0805_2012Metric
C33,88.275,-175.975,top,180,1uF,C_0805_2012Metric
D1,50.825,-98.3,top,180,ES1H,DIOM4226X244N
D2,41.7,-70.3,top,0,ES1H,DIOM4226X244N
D3,74.9,-147.85,top,90,D_Schottky,D_SOD-323
D4,100.5125,-113.9,top,180,YELLOW,LED_0805_2012Metric
D5,100.5,-116.2,top,180,YELLOW,LED_0805_2012Metric
D6,100.4875,-118.5,top,180,YELLOW,LED_0805_2012Metric
D7,100.5375,-120.8,top,180,BLUE,LED_0805_2012Metric
D8,100.5375,-123.1,top,180,YELLOW,LED_0805_2012Metric
D9,100.5375,-125.3,top,180,YELLOW,LED_0805_2012Metric
D10,63,-174.35,top,180,PESD5V0S1BA,D_SOD-323
D11,63,-172.05,top,180,PESD5V0S1BA,D_SOD-323
D12,63,-176.65,top,180,PESD5V0S1BA,D_SOD-323
FB1,86.925,-181.325,top,90,FerriteBead_Small,L_0603_1608Metric
FB2,90.925,-181.2,top,90,FerriteBead_Small,L_0603_1608Metric
J1,60.1,-184.25,top,0,USB4105-GF-A,GCT_USB4105-GF-A
L1,71.625,-144.35,top,180,2.2uH,L_1008_2520Metric
Q1,52.1375,-83.75,top,0,AO3400A,SOT-23
R1,56.85,-146.725,top,-90,220R,R_0805_2012Metric
R2,64.125,-111.3,top,180,22k,R_0805_2012Metric
R3,64.000008,-105.45,top,0,10k,R_0805_2012Metric
R4,50.6625,-102.9,top,0,"560k, 1M",R_2512_6332Metric
R5,67.9,-111.3,top,180,10k,R_0805_2012Metric
R6,50.5,-150.2,top,-90,10R,R_2512_6332Metric
R7,63.35,-102.55,top,180,1M,R_1210_3225Metric
R8,86.3875,-76.33,top,180,1K,R_0805_2012Metric
R9,58.9,-87.2,top,90,100R,R_0805_2012Metric
R10,67.875,-103.1,top,180,10k,R_0805_2012Metric
R11,71.4,-153.25,top,0,10R,R_0805_2012Metric
R12,104.8,-77.5,top,180,10k,R_0805_2012Metric
R13,98,-77.6,top,180,10k,R_0805_2012Metric
R14,96.5375,-113.9,top,180,220R,R_0805_2012Metric
R15,96.5125,-116.3,top,180,220R,R_0805_2012Metric
R16,96.4875,-118.5,top,180,220R,R_0805_2012Metric
R17,96.5375,-120.8,top,180,220R,R_0805_2012Metric
R18,96.5375,-123.1,top,180,220R,R_0805_2012Metric
R19,96.3375,-125.3,top,180,220R,R_0805_2012Metric
R20,58,-74.9,top,-90,2.7k,R_0805_2012Metric
R21,86.2,-85.475,top,180,33R,R_0805_2012Metric
R22,57.7,-176.45,top,180,5.1k,R_0805_2012Metric
R23,86.225,-83.23,top,180,33R,R_0805_2012Metric
R24,86.125,-80.95,top,180,33R,R_0805_2012Metric
R25,58,-71,top,-90,10k,R_0805_2012Metric
R26,52.8,-183.25,top,180,5.1k,R_0805_2012Metric
R27,57.7,-174.05,top,180,1M,R_0805_2012Metric
R28,61.4,-82.3,top,-90,10k,R_0805_2012Metric
R29,58.9,-82.2875,top,-90,10k,R_0805_2012Metric
R30,90.9875,-148.825,top,180,470R,R_0805_2012Metric
R31,90.9875,-146.625,top,180,10k,R_0805_2012Metric
R32,57.675,-171.2,top,180,470R,R_0805_2012Metric
R33,97.975,-133.3,top,180,10k,R_0805_2012Metric
R34,101.8375,-133.3,top,0,10k,R_0805_2012Metric
R37,91.9,-98.575,top,180,4.7k,R_0805_2012Metric
R38,91.925,-100.7,top,180,4.7k,R_0805_2012Metric
R39,91.925,-102.75,top,180,4.7k,R_0805_2012Metric
R40,91.925,-104.925,top,180,4.7k,R_0805_2012Metric
R41,105.1,-92.1,top,180,4.7k,R_0805_2012Metric
