Designator,Mid X,Mid Y,Layer,Rotation
J3,102.8,-101.3,bottom,-90
+3.3V1,63.9,-134.625,top,0
5V1,63.55,-153.175,top,0
BCK1,105.8,-149.675,top,0
C1,67.950008,-105.44,top,0
C2,50.45,-90.4,top,0
C3,48.95,-107,top,0
C4,50.3,-76.3,top,0
C5,61.3,-87.15,top,-90
C6,48.3,-83.8,top,-90
C7,71.4,-150.95,top,180
C8,71.5231,-124.125,top,0
C9,71.8231,-133.525,top,0
C10,104.8,-79.9,top,0
C11,98,-79.9,top,0
C12,66.9,-146.24,top,0
C13,66.9,-148.75,top,0
C14,60.9,-71,top,90
C15,63.1125,-185.5,top,0
C16,79.7,-89.74,top,0
C17,79.7,-92.2,top,0
C18,86.8875,-152,top,-90
C19,95.85,-146.625,top,0
C20,95.8,-148.825,top,0
C21,100.0875,-148.9,top,0
C22,100.0875,-151.3,top,0
C23,88.4375,-158.9,top,180
C24,95.45,-158.425,top,0
C25,95.45,-160.625,top,0
C26,96.95,-92.3,top,0
D1,50.825,-98.3,top,180
D2,41.7,-70.3,top,0
D3,74.9,-147.85,top,90
D4,90.175,-173.8,top,180
D5,90.1625,-176.1,top,180
D6,90.15,-178.4,top,180
D7,90.2,-180.7,top,180
D8,90.2,-183,top,180
D9,90.2,-185.2,top,180
D10,73.3,-174.2,top,180
D11,73.3,-171.9,top,180
D12,73.3,-176.5,top,180
DOUT1,105.65,-142.5,top,0
DRAIN1,65.15,-94.5,top,0
F1,44.765,-184.9225,top,90
GND1,50.4,-162.675,top,0
GND2,107.3,-89.8,top,0
GND3,107.45,-114.125,top,0
HIV+1,56.9,-94.5,top,0
HIV-1,47.425,-69.25,top,0
J1,70.4,-184.1,top,0
J2,107.6,-178.490435,top,180
J4,105.6,-124.38,top,0
L1,71.625,-144.35,top,180
LRCK1,105.7,-146.075,top,0
OUTL1,105.925,-159.45,top,0
OUTR1,105.825,-154.35,top,0
PWM1,53.175,-69.15,top,0
Q1,52.1375,-83.75,top,0
R1,56.85,-146.725,top,-90
R2,64.125,-111.3,top,180
R3,64.000008,-105.45,top,0
R4,50.6625,-102.9,top,0
R5,67.9,-111.3,top,180
R6,50.5,-150.2,top,-90
R7,63.35,-102.55,top,180
R8,86.3875,-76.33,top,180
R9,58.9,-87.2,top,90
R10,67.875,-103.1,top,180
R11,71.4,-153.25,top,0
R12,104.8,-77.5,top,180
R13,98,-77.6,top,180
R14,86.2,-173.8,top,180
R15,86.175,-176.2,top,180
R16,86.15,-178.4,top,180
R17,86.2,-180.7,top,180
R18,86.2,-183,top,180
R19,86,-185.2,top,180
R20,58,-74.9,top,-90
R21,86.3875,-85.43,top,180
R22,68,-176.3,top,180
R23,86.4,-83.23,top,180
R24,86.3875,-80.93,top,180
R25,58,-71,top,-90
R26,63.1,-183.1,top,180
R27,68,-173.9,top,180
R28,61.4,-82.3,top,-90
R29,58.9,-82.2875,top,-90
R30,90.9875,-148.825,top,180
R31,90.9875,-146.625,top,180
R32,67.975,-171.05,top,180
S1,104.8,-73.2,top,-90
S2,98,-73.3,top,-90
S3,79.9875,-105.8,top,0
STG1,60.9,-94.5,top,0
T1,48.5125,-110.505,top,-90
U1,65.900008,-108.25,top,0
U2,71.925,-128.925,top,-90
U3,71.2625,-147.9,top,0
U4,73.8,-73.94,top,0
U5,92.6875,-153.6,top,0
VBUS1,50.4,-157.85,top,0
