"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R12,R13,R29,R32,R25,R28,R5,R10";"R_0805_2012Metric";9;"10k";;;
2;"R30,R31";"R_0805_2012Metric";2;"470R";;;
3;"OUTL1,GND1,5V1,LRCK1,DRAIN1,VBUS1,OUTR1,HIV-1,DOUT1,GND3,BCK1,STG1,+3.3V1,PWM1,GND2,HIV+1";"Pin_D1.0mm_L10.0mm";16;"TestPoint";;;
4;"C17";"C_0805_2012Metric";1;"1uF";;;
5;"T1";"Transformer_Coilcraft_FL2810-1L";1;"FL2810-1L";;;
6;"R21,R23,R24";"R_0805_2012Metric";3;"33R";;;
7;"D10,D12,D11";"D_SOD-323";3;"PESD5V0S1BA";;;
8;"Q1";"SOT-23";1;"AO3400A";;;
9;"R26,R22";"R_0805_2012Metric";2;"5.1k";;;
10;"C3,C5";"C_0805_2012Metric";2;"1000pF";;;
11;"U2";"TO252-3L_DIO";1;"AP7363-33D-13";;;
12;"D2,D1";"DIOM4226X244N";2;"ES1H";;;
13;"C8,C12,C24,C16,C13,C9,C21";"C_0805_2012Metric";7;"10uF";;;
14;"D5,D6,D8,D9,D4";"LED_0805_2012Metric";5;"YELLOW";;;
15;"F1";"Fuseholder_Clip-7.62mm_Littelfuse";1;"Clip";;;
16;"C19,C20";"C_0805_2012Metric";2;"2.2nF";;;
17;"R9";"R_0805_2012Metric";1;"100R";;;
18;"C25,C11,C26,C1,C22,C14,C10";"C_0805_2012Metric";7;"0.1uF";;;
19;"C2,C4";"C_2220_5750Metric";2;"1uF/ 500V";;;
20;"R16,R14,R17,R15,R18,R19,R1";"R_0805_2012Metric";7;"220R";;;
21;"R6";"R_2512_6332Metric";1;"10R";;;
22;"U1";"PW0008A-MFG";1;"LM393BIPWR";;;
23;"R27";"R_0805_2012Metric";1;"1M";;;
24;"L1";"L_1008_2520Metric";1;"2.2uH";;;
25;"J2";"STX-3000_KYC";1;"AUDIO JACK";;;
26;"R11";"R_0805_2012Metric";1;"10R";;;
27;"JP2,JP3,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";3;"SolderJumper_2_Open";;;
28;"C23,C18";"C_0805_2012Metric";2;"2.2uF";;;
29;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5102";;;
30;"R8";"R_0805_2012Metric";1;"1K";;;
31;"R4";"R_2512_6332Metric";1;"560k, 1M";;;
32;"S1,S2";"SW_SKRPABE010";2;"SKRPABE010";;;
33;"R7";"R_1210_3225Metric";1;"1M";;;
34;"U3";"SOT-23-5";1;"TPS613222ADBV";;;
35;"C6";"C_0805_2012Metric";1;"100pF";;;
36;"J1";"GCT_USB4105-GF-A";1;"USB4105-GF-A";;;
37;"S3";"DIP SWITCH SW_DS04-254-2-06BK-SMT";1;"DS04-254-2-06BK-SMT";;;
38;"R2";"R_0805_2012Metric";1;"22k";;;
39;"R20";"R_0805_2012Metric";1;"2.7k";;;
40;"D7";"LED_0805_2012Metric";1;"BLUE";;;
41;"J4";"PinHeader_1x06_P2.54mm_Vertical";1;"1x6 header";;;
42;"U4";"ESP32S3WROOM1N8R2";1;"ESP32-S3-WROOM-1-N8";;;
43;"C7";"C_0805_2012Metric";1;"120pF";;;
44;"C15";"C_0805_2012Metric";1;"0.01uF";;;
45;"D3";"D_SOD-323";1;"D_Schottky";;;
46;"J3";"MEM2061-01-188-00-A_GCT";1;"MEM2061-01-188-00-A";;;
